Sıra No,İşletme Adı,Tesis İli,Lisans Konuları
13,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA,Düzenli Depolama - 1. Sınıf (Tehlikeli Atık Düzenli Depolama
13,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA, Atık Ara Depolama
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Tehlikeli Atık Geri Kazanımı
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, Tehlikesiz Atık Geri Kazanımı
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, Ömrünü Tamamlamış Araç Geçici Depolama
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, Hurda Metal /ÖTA İşleme
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, Atık Elektrikli ve Elektronik Eşya İşleme
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, PCB Arındırma
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, Atık Ara Depolama
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, Toplama Ayırma Tesisi
14,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE, Tehlikesiz Atık Ön İşleme Tesisi
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,Tehlikeli Atık Geri Kazanımı
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,Tehlikesiz Atık Geri Kazanımı
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL, Tanker Temizleme
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL, Hurda Metal /ÖTA İşleme
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL, Atık Elektrikli ve Elektronik Eşya İşleme
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL, PCB Arındırma
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL, Atık Ara Depolama
15,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL, Ambalaj Atığı Toplama ve Ayırma Tip 
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Tehlikeli Atık Geri Kazanımı
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Tehlikesiz Atık Geri Kazanımı
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Ambalaj Atığı Geri Kazanımı
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Ömrünü Tamamlamış Araç Geçici Depolama
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Hurda Metal /ÖTA İşleme
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Atık Elektrikli ve Elektronik Eşya İşleme
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, PCB Arındırma
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Atık Ara Depolama
16,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Ambalaj Atığı Toplama ve Ayırma Tip 
17,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Tehlikeli Atık Geri Kazanımı
17,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Tehlikesiz Atık Geri Kazanımı
17,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY, Hurda Metal /ÖTA İşleme
17,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY, Atık Elektrikli ve Elektronik Eşya İşleme
17,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY, PCB Arındırma
17,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi
18,ÇELİKLER KONTEYNER ATIK YÖN.ELEKTR. ELEKTRİK İNŞ.NAKL. SAN. VE TİC.LTD.ŞTİ - SARAYKENT ŞUBESİ,ANKARA,Atık Ara Depolama
19,GÜRSOY İZABELİK GERİ DÖNÜŞÜM METAL NAKLİYAT İNŞAAT TİCARET LİMİTED ŞİRKETİ - ARA Depolama ŞUBESİ,ANKARA,Atık Ara Depolama
20,ALTINTEPE MAD.SAN. VE TİC.A.Ş. FATSA ORDU ŞUBESİ,ORDU,Maden Atığı Bertaraf- Depolama Kategori 
20,ALTINTEPE MAD.SAN. VE TİC.A.Ş. FATSA ORDU ŞUBESİ,ORDU, Maden Atığı Bertaraf- Depolama Kategori
21,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA,Tehlikeli Atık Geri Kazanımı
