Sıra No,Çevre Kimlik No,İşletme Adı,Tesis İli,İşletme Adres,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,Sertifika Süresi
1,232296778,TÜMAD MADENCİLİK SANVE TİC.A.Ş. LAPSEKİ ŞUBESİ,ÇANAKKALE,"Köyün Kendisi Mahallesi, Sokak No:210-, Lapseki / ÇANAKKALE",Maden Atığı Bertaraf- Depolama Kategori ,"Hava Emisyon, Atıksu Deşarjı",İzin ve Lisans Belgesi,2022-07-01 00:00:00,2026-12-25 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Hurda Metal /ÖTA İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Atık Elektrikli ve Elektronik Eşya İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, PCB Arındırm,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesis,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
3,232682968,UNİMET MADENCİLİK SANAYİ VE TİCARET A.Ş. BURSA BÜYÜKORHAN ŞUBESİ,BURSA,"ÖRENCİK Mahallesi, ÖRENCİK SOKAK, No: 178-, BÜYÜKORHAN/BURSA",Maden Atığı Bertaraf- Depolama Kategori,Hava Emisyon,İzin ve Lisans Belgesi,2021-04-29 00:00:00,2026-01-14 00:00:00
4,225097982,ERDEMİR MADENCİLİK SANAYİ VE TİCARET A.Ş.,SİVAS,"DEMİRDAĞ Mahallesi, EMEKÇİLER CADDE, No:1-, DİVRİĞİ / SİVAS",Maden Atığı Bertaraf- Depolama Kategori ,"Hava Emisyon, Atıksu Deşarjı",İzin ve Lisans Belgesi,2020-03-06 00:00:00,2025-03-06 00:00:00
5,222631242,NADİR METAL RAFİNERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,İSTANBUL,"AKÇABURGAZ Mahallesi, 3114. SOKAK, No: 6-, ESENYURT/İSTANBUL",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2020-07-05 00:00:00,2025-07-05 00:00:00
5,222631242,NADİR METAL RAFİNERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,İSTANBUL,"AKÇABURGAZ Mahallesi, 3114. SOKAK, No: 6-, ESENYURT/İSTANBUL",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2020-07-05 00:00:00,2025-07-05 00:00:00
6,223228076,SAY RAMAT KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İSTANBUL,"Orhan Gazi Mahallesi, ISISO San. Sit. U1 Blok, No:5-, Esenyurt/İSTANBUL",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-05-05 00:00:00,2025-06-05 00:00:00
6,223228076,SAY RAMAT KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İSTANBUL,"Orhan Gazi Mahallesi, ISISO San. Sit. U1 Blok, No:5-, Esenyurt/İSTANBUL",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-05-05 00:00:00,2025-06-05 00:00:00
7,227206830,FERROMAD MADEN MERMER İNŞ.MAK.GIDA .İML.İTH.İHR.SAN.VE TİC.LTD.ŞTİ. HİSARCIK ŞUBESİ,KÜTAHYA,"Köyün Kendisi Mahallesi, Sokak, No:197-, Hisarcık / KÜTAHYA",Maden Atığı Bertaraf- Depolama Kategori,Hava Emisyon,İzin ve Lisans Belgesi,2020-02-13 00:00:00,2025-02-13 00:00:00
8,226710772,SAHA METAL SANAYİ TİCARET ANONİM ŞİRKETİ,ANKARA,"DAĞYAKA Mahallesi, 1057 CADDE, No: 5-, KAHRAMANKAZAN / ANKARA",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-03 00:00:00,2024-12-21 00:00:00
8,226710772,SAHA METAL SANAYİ TİCARET ANONİM ŞİRKETİ,ANKARA,"DAĞYAKA Mahallesi, 1057 CADDE, No: 5-, KAHRAMANKAZAN / ANKARA",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-03 00:00:00,2024-12-21 00:00:00
9,227719514,GLOBAL PAZARLAMA GIDA KUMANYACILIK DENİZCİLİK MADENCİLİK TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ TEFENNİ ŞUBESİ,BURDUR,"TEFENNİ YAYLASI MEVKİİ, TEFENNİ / BURDUR",Maden Atığı Bertaraf- Depolama Kategori,Hava Emisyon,İzin ve Lisans Belgesi,2021-12-31 00:00:00,2024-11-17 00:00:00
10,227223806,CEYLAN GRUP METAL OKSİT KİMYA ÜRT.MAK.HURDA İTH.İHR.SAN.VE TİC.LTD.ŞTİ.,ANKARA,"Orhaniye Mahallesi, Orhaniye Küme Evler No:243-, Kahramankazan/ANKARA",Tehlikeli Atık Geri Kazanı,,İzin ve Lisans Belgesi,2019-08-15 00:00:00,2024-08-15 00:00:00
10,227223806,CEYLAN GRUP METAL OKSİT KİMYA ÜRT.MAK.HURDA İTH.İHR.SAN.VE TİC.LTD.ŞTİ.,ANKARA,"Orhaniye Mahallesi, Orhaniye Küme Evler No:243-, Kahramankazan/ANKARA", Tehlikesiz Atık Geri Kazanı,,İzin ve Lisans Belgesi,2019-08-15 00:00:00,2024-08-15 00:00:00
11,222716550,TÜPRAG METAL MADENCİLİK SANAYİ VE TİC.A.Ş.- İZMİR ŞUBESİ,İZMİR,"EFEMÇUKURU Mahallesi, 7551 Sokak, No:1 /1-, MENDERES / İZMİR",Maden Atığı Bertaraf- Depolama Kategori ,"Hava Emisyon, Atıksu Deşarjı",İzin ve Lisans Belgesi,2020-11-16 00:00:00,2024-05-16 00:00:00
12,223457474,ONSA RAFİNERİ A.Ş,İSTANBUL,"Osmangazi Mahallesi, 3117. Sokak, No:3, Esenyurt/İSTANBUL",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2020-02-13 00:00:00,2024-12-05 00:00:00
12,223457474,ONSA RAFİNERİ A.Ş,İSTANBUL,"Osmangazi Mahallesi, 3117. Sokak, No:3, Esenyurt/İSTANBUL",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2020-02-13 00:00:00,2024-12-05 00:00:00
