Sıra No,Çevre Kimlik No,İşletme Adı,Tesis İli,İşletme Adres,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,Sertifika Süresi
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",PCB Arındırma,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",Atık Ara Depolama,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",Ambalaj Atığı Toplama ve Ayırma Tip ,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Ambalaj Atığı Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Ömrünü Tamamlamış Araç Geçici Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Tanker Temizleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",PCB Arındırma,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLARHurdaCILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Atık Ara Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
6,229611292,BEYSU ATIK YÖNETİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DENİZLİ,"PINARKENT Mahallesi, 200 SOKAK, No: 15-, PAMUKKALE / DENİZLİ",Atık Ara Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2021-12-22 00:00:00,2026-12-22 00:00:00
6,229611292,BEYSU ATIK YÖNETİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DENİZLİ,"PINARKENT Mahallesi, 200 SOKAK, No: 15-, PAMUKKALE / DENİZLİ",Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2021-12-22 00:00:00,2026-12-22 00:00:00
7,225188398,TURMENKA MADENCİLİK SAN. VE TİC. A.Ş (Kurşun-Çinko-Bakır Zenginleştirme Tesisii ve Maden Atığı Bertaraf Tesisii),SİVAS,"Çandır Köyü Mevkii, Kurşunlu Maden Mah. No:1, Koyulhisar / SİVAS","Maden Atığı Bertaraf- Depolama Kategori A,Maden Atığı Bertaraf- Depolama Kategori B",Hava Emisyon,İzin ve Lisans Belgesi,2021-11-26 00:00:00,2026-11-24 00:00:00
8,224412904,ETİ BAKIR A.Ş. MURGUL İŞLETMESİ,ARTVİN,"DAMAR ÇARŞI Mahallesi, İŞLETME SOKAK, No: 4-, MURGUL / ARTVİN",Maden Atığı Bertaraf- Depolama Kategori,Hava Emisyon,İzin ve Lisans Belgesi,2021-11-16 00:00:00,2026-11-16 00:00:00
9,223251050,İPEK MOBİLYA İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ - ÇİNKOM ŞUBESİ,KAYSERİ,"ÖRENŞEHİR Mahallesi, ÖRENŞEHİR KÜME EVLER, No:1-, İNCESU / KAYSERİ",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-26 00:00:00,2026-10-26 00:00:00
9,223251050,İPEK MOBİLYA İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ - ÇİNKOM ŞUBESİ,KAYSERİ,"ÖRENŞEHİR Mahallesi, ÖRENŞEHİR KÜME EVLER, No:1-, İNCESU / KAYSERİ",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-26 00:00:00,2026-10-26 00:00:00
10,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
10,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
10,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",Tanker Temizleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
10,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
10,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
11,230900206,YA-SE ÖZEL SAĞLIK PERSONEL HİZMETLERİ NAKLİYE TURİZM ENDÜSTRİYEL ATIK SANAYİ TİCARET LİMİTED ŞİRKETİ,BURSA,"TURANKÖY Mahallesi, TERKEŞLİ CADDE, No: 6-, KESTEL / BURSA",Atık Ara Depolama,,İzin ve Lisans Belgesi,2021-04-10 00:00:00,2026-04-10 00:00:00
12,290260050,MGD MARMARA GERİ DÖNÜŞÜM ENDÜSTRİ SANAYİ VE TİC.LTD.ŞTİ. - TURGUTLU ŞUBESİ,MANİSA,"SELVİLİTEPE Mahallesi, URAN YOLU SOKAK, No:13/A, TURGUTLU / MANİSA",Atık Ara Depolama,,İzin ve Lisans Belgesi,2021-08-09 00:00:00,2026-10-09 00:00:00
13,222590246,NESKO MADEN TİC.SAN.A.Ş.ŞEBİNKARAHİSAR ŞUBESİ,GİRESUN,"Çağlayan Köyü, Darabul Mevkii, Şebinkarahsar / GİRESUN",Maden Atığı Bertaraf- Depolama Kategori,Hava Emisyon,İzin ve Lisans Belgesi,2021-09-09 00:00:00,2026-09-09 00:00:00
14,277891598,ÜÇ-LER GERİ DÖN. GEMİ SÖK. DEM. ÇEL. NAK. İNŞ. HAF. SAN. TİC. LTD.ŞTİ.- MANİSA ARA Depolama ŞUBESİ,MANİSA,"MURADİYE Mahallesi, 31 SOKAK, No: 21-, YUNUSEMRE / MANİSA",Atık Ara Depolama,,İzin ve Lisans Belgesi,2021-06-08 00:00:00,2026-06-08 00:00:00
15,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",Atık Yakma ve Beraber Yakma,Hava Emisyon,İzin ve Lisans Belgesi,2021-07-30 00:00:00,2026-07-30 00:00:00
15,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",Düzenli Depolama - 1. Sınıf (Tehlikeli Atık Düzenli Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2021-07-30 00:00:00,2026-07-30 00:00:00
15,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",Atık Ara Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2021-07-30 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Tehlikeli Atık Geri Kazanımı,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Tehlikesiz Atık Geri Kazanımı,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Ömrünü Tamamlamış Araç Geçici Depolama,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Hurda Metal /ÖTA İşleme,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Atık Elektrikli ve Elektronik Eşya İşleme,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,PCB Arındırma,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Atık Ara Depolama,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Toplama Ayırma Tesisi,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
16,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Tehlikesiz Atık Ön İşleme Tesisiler,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Tanker Temizleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Hurda Metal /ÖTA İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",PCB Arındırma,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Atık Ara Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
17,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Ambalaj Atığı Toplama ve Ayırma Tip ,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Ambalaj Atığı Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Ömrünü Tamamlamış Araç Geçici Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Hurda Metal /ÖTA İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,PCB Arındırma,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Atık Ara Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
18,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Ambalaj Atığı Toplama ve Ayırma Tip ,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
19,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
19,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
19,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Hurda Metal /ÖTA İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
19,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
19,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,PCB Arındırma,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
19,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
20,222593520,OREKS MADENCİLİK LTD. ŞTİ. KALKIM MADEN ZENGİNLEŞTİRME TESİSİ ÇANAKKALE ŞUBESİ,ÇANAKKALE,"KARAAYDIN KÖYÜ 1. KM BİLA NO KALKIM BELDESİ, YENİCE / ÇANAKKALE",Maden Atığı Bertaraf- Depolama Kategori,Hava Emisyon,İzin ve Lisans Belgesi,2021-04-02 00:00:00,2026-04-02 00:00:00
